nazwa;Miejsca;Koalicja;Opozycja;PiS;KO;TD;Lewica;Konf;BS;OKS;SS
dolnośląskie;36;20;16;13;15;4;1;0;3;0;0
kujawsko-pomorskie;30;19;11;11;14;5;0;0;0;0;0
lubelskie;33;11;22;21;6;5;0;1;0;0;0
lubuskie;30;20;10;10;14;6;0;0;0;0;0
mazowieckie;51;29;22;21;20;8;1;1;0;0;0
małopolskie;39;18;21;21;12;6;0;0;0;0;0
opolskie;30;20;10;10;14;1;0;0;0;0;5
podkarpackie;33;10;23;21;6;4;0;2;0;0;0
podlaskie;30;14;16;15;8;6;0;1;0;0;0
pomorskie;33;23;10;10;20;3;0;0;0;0;0
warmińsko-mazurskie;30;19;11;11;13;6;0;0;0;0;0
wielkopolskie;39;24;15;15;15;7;2;0;0;0;0
zachodniopomorskie;30;19;11;10;15;3;1;0;0;1;0
łódzkie;33;17;16;16;12;4;1;0;0;0;0
śląskie;45;27;18;18;20;5;2;0;0;0;0
świętokrzyskie;30;13;17;16;6;7;0;1;0;0;0
